timestamp,train_number,latitude,longitude,speed_kmh,heading_deg,distance_along_route_km
2025-05-15T06:00:00,22436,28.6429,77.2195,122.5,125.0,0.0
2025-05-15T06:01:30,22436,28.64603,77.24614,123.9,125.0,3.2
2025-05-15T06:03:00,22436,28.64915,77.27277,122.9,125.0,6.4
2025-05-15T06:04:30,22436,28.65227,77.29941,129.7,125.0,9.6
2025-05-15T06:06:00,22436,28.6554,77.32605,129.8,125.0,12.8
2025-05-15T06:07:30,22436,28.65853,77.35269,129.0,125.0,16.0
2025-05-15T06:09:00,22436,28.66165,77.37932,117.0,125.0,19.2
2025-05-15T06:10:30,22436,28.66477,77.40596,127.9,125.0,22.4
2025-05-15T06:12:00,22436,28.6679,77.4326,123.5,125.0,25.6
2025-05-15T06:13:30,22436,28.64455,77.45246,120.5,125.0,28.6
2025-05-15T06:15:00,22436,28.6212,77.47232,125.2,125.0,31.7
2025-05-15T06:16:30,22436,28.59785,77.49218,126.4,125.0,34.7
2025-05-15T06:18:00,22436,28.57451,77.51204,129.3,125.0,37.8
2025-05-15T06:19:30,22436,28.55116,77.5319,126.6,125.0,40.8
2025-05-15T06:21:00,22436,28.52781,77.55176,115.3,125.0,43.9
2025-05-15T06:22:30,22436,28.50446,77.57162,116.0,125.0,46.9
2025-05-15T06:24:00,22436,28.48111,77.59148,118.9,125.0,49.9
2025-05-15T06:25:30,22436,28.45776,77.61135,115.6,125.0,53.0
2025-05-15T06:27:00,22436,28.43442,77.63121,115.9,125.0,56.0
2025-05-15T06:28:30,22436,28.41107,77.65107,126.8,125.0,59.1
2025-05-15T06:30:00,22436,28.38772,77.67093,122.6,125.0,62.1
2025-05-15T06:31:30,22436,28.36437,77.69079,124.4,125.0,65.2
2025-05-15T06:33:00,22436,28.34102,77.71065,122.5,125.0,68.2
2025-05-15T06:34:30,22436,28.31767,77.73051,121.2,125.0,71.2
2025-05-15T06:36:00,22436,28.29432,77.75037,125.5,125.0,74.3
2025-05-15T06:37:30,22436,28.27098,77.77023,116.2,125.0,77.3
2025-05-15T06:39:00,22436,28.24763,77.79009,123.0,125.0,80.4
2025-05-15T06:40:30,22436,28.22428,77.80995,124.2,125.0,83.4
2025-05-15T06:42:00,22436,28.20093,77.82981,119.2,125.0,86.4
2025-05-15T06:43:30,22436,28.17758,77.84967,119.6,125.0,89.5
2025-05-15T06:45:00,22436,28.15423,77.86953,122.7,125.0,92.5
2025-05-15T06:46:30,22436,28.13088,77.88939,118.0,125.0,95.6
2025-05-15T06:48:00,22436,28.10754,77.90925,127.1,125.0,98.6
2025-05-15T06:49:30,22436,28.08419,77.92912,123.0,125.0,101.7
2025-05-15T06:51:00,22436,28.06084,77.94898,120.9,125.0,104.7
2025-05-15T06:52:30,22436,28.03749,77.96884,124.5,125.0,107.7
2025-05-15T06:54:00,22436,28.01414,77.9887,127.5,125.0,110.8
